question,options,answer
What is the capital of France?,"London,Paris,Berlin",Paris
What is the largest planet in the solar system?,"Mars,Jupiter,Saturn",Jupiter
Which Indian city is known as the Silicon Valley of India?,"Mumbai,Bengaluru,Hyderabad",Bengaluru
Who painted the Mona Lisa?,"Pablo Picasso,Vincent van Gogh,Leonardo da Vinci",Leonardo da Vinci
What is the largest country by land area?,"Russia,China,United States",Russia
What is the name of India's highest civilian award?,"Bharat Ratna,Padma Bhushan,Param Vir Chakra",Bharat Ratna
Who is the author of the Harry Potter book series?,"J.K. Rowling,Stephen King,George R.R. Martin",J.K. Rowling
Which river is considered the holiest in Hinduism?,"Ganges,Yamuna,Brahmaputra",Ganges
What is the tallest mammal on Earth?,"Elephant,Giraffe,Rhinoceros",Giraffe
Who wrote the play Romeo and Juliet?,"William Shakespeare,Charles Dickens,Jane Austen",William Shakespeare
